8/11,Alexia CHERY,Basketball - Women,76,2
8/10,Alexis HOLMES,Athletics - Women's 4 x 400m Relay,67,1
8/09,Alexis LEBRUN,Table Tennis - Men's Team,278,3
8/01,Alice BELLANDI,Judo - Women -78 kg,173,1
8/05,Alice D'AMATO,Artistic Gymnastics - Women's Balance Beam,17,1
7/30,Alice D'AMATO,Artistic Gymnastics - Women's Team,19,2
8/01,Alice VOLPI,Fencing - Women's Foil Team,155,2
8/10,Alice WILLIAMS,Water Polo - Women,301,2
8/08,Alicia HOSKIN,Canoe Sprint - Women's Kayak Four 500m,109,1
8/09,Alicia HOSKIN,Canoe Sprint - Women's Kayak Double 500m,108,1
8/10,Alicia TOUBLANC,Handball - Women,165,2
7/30,Alicja KLASIK,Fencing - Women's Epee Team,154,3
8/09,Alida Dora GAZSO,Canoe Sprint - Women's Kayak Double 500m,108,2
8/08,Alida Dora GAZSO,Canoe Sprint - Women's Kayak Four 500m,109,3
8/03,Alina KOMASHCHUK,Fencing - Women's Sabre Team,156,1
8/08,Alireza MOHMADIPIANI,Wrestling - Men's Greco-Roman 87kg,315,2
8/07,Alisa OZHOGINA OZHOGIN,Artistic Swimming - Team,21,3
8/02,Alisher YUSUPOV,Judo - Men +100 kg,181,3
8/09,Alison dos SANTOS,Athletics - Men's 400m Hurdles,32,3
8/08,Alizadeh KIMIA,Taekwondo - Women -57kg,285,3
8/07,Ally WOLLASTON,Cycling Track - Women's Team Pursuit,131,2
8/11,Ally WOLLASTON,Cycling Track - Women's Omnium,132,3
8/03,Alpha Oumar DJALO,Judo - Mixed Team,182,1
8/10,Althea LAURIN,Taekwondo - Women +67kg,287,1
8/10,Althea REINHARDT,Handball - Women,165,3
8/01,Alvaro MARTIN,Athletics - Men's 20km Race Walk,42,3
8/07,Alvaro MARTIN,Athletics - Marathon Race Walk Relay Mixed,330,1
7/30,Alysha CORRIGAN,Rugby Sevens - Women,204,2
8/07,Alysha NEWMAN,Athletics - Women's Pole Vault,57,3
8/10,Alyssa NAEHER,Football - Women,161,1
8/11,Alyssa THOMAS,Basketball - Women,76,1
8/03,Amalia BERES,Rowing - Women's Eight,201,1
8/09,Aman AMAN,Wrestling - Men's Freestyle 57kg,324,3
7/28,Amandine BUCHARD,Judo - Women -52 kg,169,3
8/03,Amandine BUCHARD,Judo - Mixed Team,182,1
8/10,Amber ANNING,Athletics - Women's 4 x 400m Relay,67,3
8/03,Amber ANNING,Athletics - 4 x 400m Relay Mixed,68,3
8/04,Amber Jo RUTTER,Shooting - Skeet Women,226,2
8/09,AMI,Breaking - B-Girls,95,1
8/06,Amin MIRZAZADEH,Wrestling - Men's Greco-Roman 130kg,317,3
8/10,Amir Hossein ZARE,Wrestling - Men's Freestyle 125kg,329,2
8/08,Amir RICHARDSON,Football - Men,160,3
